file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D75B,bank0,0xD75B,jb,3,0x90,0xD6EE,0x0D6EE,yes,other,0,24,,
0x0D761,bank0,0xD761,jb,3,0x02,0xD766,0x0D766,yes,entry,24,0,,
0x0D764,bank0,0xD764,sjmp,2,0x6C,0xD7D2,0x0D7D2,yes,entry,23,1,,
0x0D766,bank0,0xD766,jb,3,0x02,0xD76B,0x0D76B,yes,entry,24,0,,
0x0D769,bank0,0xD769,sjmp,2,0x48,0xD7B3,0x0D7B3,yes,entry,22,2,,
0x0D774,bank0,0xD774,jb,3,0x15,0xD78C,0x0D78C,yes,entry,24,0,,
0x0D777,bank0,0xD777,jb,3,0x02,0xD77C,0x0D77C,yes,entry,23,1,,
0x0D77A,bank0,0xD77A,sjmp,2,0x22,0xD79E,0x0D79E,yes,entry,23,1,,
0x0D788,bank0,0xD788,jnc,2,0x10,0xD79A,0x0D79A,yes,entry,23,1,,
0x0D789,bank0,0xD789,jbc,3,0x12,0xD79E,0x0D79E,yes,entry,0,24,,
0x0D78A,bank0,0xD78A,sjmp,2,0x12,0xD79E,0x0D79E,yes,entry,23,1,,
0x0D798,bank0,0xD798,sjmp,2,0x04,0xD79E,0x0D79E,yes,entry,24,0,,
0x0D7A6,bank0,0xD7A6,jb,3,0xE4,0xD78D,0x0D78D,yes,other,0,24,,
0x0D7B1,bank0,0xD7B1,sjmp,2,0x1F,0xD7D2,0x0D7D2,yes,entry,24,0,,
0x0D7B7,bank0,0xD7B7,jnb,3,0x10,0xD7CA,0x0D7CA,yes,entry,24,0,,
0x0D7B8,bank0,0xD7B8,jnz,2,0x10,0xD7CA,0x0D7CA,yes,entry,0,24,,
0x0D7B9,bank0,0xD7B9,jbc,3,0x78,0xD834,0x0D834,yes,entry,0,24,,
0x0D7BA,bank0,0xD7BA,jb,3,0x05,0xD7C2,0x0D7C2,yes,entry,23,1,,
0x0D7C0,bank0,0xD7C0,sjmp,2,0xDC,0xD79E,0x0D79E,yes,entry,23,1,,
0x0D7C1,bank0,0xD7C1,djnz,2,0x75,0xD838,0x0D838,yes,entry,1,23,,
