addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x06A8,0,0,0,0,0,0,0
0x06A9,0,0,0,0,0,0,0
0x06AA,0,0,0,0,0,0,0
0x06AB,0,0,0,0,0,0,0
0x06AC,0,0,0,0,0,0,0
0x06AD,0,0,0,0,0,0,0
0x06AE,0,0,0,0,0,0,0
0x06AF,0,0,0,0,0,0,0
0x06B0,0,0,0,0,0,0,0
0x06B1,0,0,0,0,0,0,0
0x06B2,0,0,0,0,0,0,0
0x06B3,0,0,0,0,0,0,0
0x06B4,0,0,0,0,0,0,0
0x06B5,0,0,0,0,0,0,0
0x06B6,0,0,0,0,0,0,0
0x06B7,0,0,0,0,0,0,0
0x06B8,0,0,0,0,0,0,0
0x06B9,0,0,0,0,0,0,0
0x06BA,0,0,0,0,0,0,0
0x06BB,0,0,0,0,0,0,0
0x06BC,0,0,0,0,0,0,0
0x06BD,0,0,0,0,0,0,0
0x06BE,0,0,0,0,0,0,0
0x06BF,0,0,0,0,0,0,0
0x06C0,2,2,0,0,0,2,0
0x06C1,0,0,0,0,0,0,0
0x06C2,15,15,0,0,3,12,0
0x06C3,2,2,0,0,0,2,0
0x06C4,1,1,0,0,0,1,0
0x06C5,4,4,0,0,1,3,0
0x06C6,3,3,0,0,0,3,0
0x06C7,0,0,0,0,0,0,0
0x06C8,0,0,0,0,0,0,0
0x06C9,0,0,0,0,0,0,0
0x06CA,0,0,0,0,0,0,0
0x06CB,0,0,0,0,0,0,0
