addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D7,0x29EEC,pd-image,0x9EEC,24,0,DPTR handed to lcall 0x56a0 -- direction unresolved here,lcall 0x56a0,flow opcode
0x07D7,0x29EFD,pd-image,0x9EFD,24,0,DPTR handed to lcall 0x5719 -- direction unresolved here,lcall 0x5719,flow opcode
0x07D7,0x29F0B,pd-image,0x9F0B,24,0,DPTR handed to lcall 0x578e -- direction unresolved here,lcall 0x578e,flow opcode
0x07D7,0x29F16,pd-image,0x9F16,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x590e",flow opcode
0x07D7,0x29F2C,pd-image,0x9F2C,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xebe4",flow opcode
0x07D7,0x29F3B,pd-image,0x9F3B,24,0,DPTR handed to lcall 0x56a0 -- direction unresolved here,lcall 0x56a0,flow opcode
0x07D7,0x29F49,pd-image,0x9F49,24,0,read x1,"movx a,@dptr ; mov r5,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D7,0x29F78,pd-image,0x9F78,24,0,DPTR handed to lcall 0x56a0 -- direction unresolved here,lcall 0x56a0,flow opcode
0x07D7,0x29F94,pd-image,0x9F94,0,24,read x1,"movx a,@dptr ; mov r7,a ; pop 0x05 ; mov r3,#0x02 ; mov r2,#0x07 ; lcall 0xccb7",flow opcode
0x07D7,0x29FA5,pd-image,0x9FA5,24,0,DPTR handed to lcall 0x56a0 -- direction unresolved here,lcall 0x56a0,flow opcode
0x07D7,0x2A0FB,pd-image,0xA0FB,24,0,write x1,"movx @dptr,a ; mov a,r7 ; mov 0xf0,#0x5e ; mul ab ; add a,#0xf2 ; mov 0x82,a ; clr a",max_insns (8) exhausted
0x07D7,0x2A11A,pd-image,0xA11A,23,1,read x1,"movx a,@dptr ; cjne a,#0x02,+0x0e",flow opcode
0x07D7,0x2A12F,pd-image,0xA12F,24,0,read x1,"movx a,@dptr ; cjne a,#0x02,+0x0b",flow opcode
0x07D7,0x2A141,pd-image,0xA141,23,1,read x1,"movx a,@dptr ; jnz +0x0e",flow opcode
0x07D7,0x2A155,pd-image,0xA155,24,0,read x1,"movx a,@dptr ; cjne a,#0x01,+0x1c",flow opcode
0x07D7,0x2A178,pd-image,0xA178,24,0,read x1,"movx a,@dptr ; cjne a,#0x01,+0x19",flow opcode
0x07D7,0x2A1C6,pd-image,0xA1C6,22,2,read x1,"movx a,@dptr ; jz +0x0b",flow opcode
0x07D7,0x2A1D7,pd-image,0xA1D7,23,1,read x1,"movx a,@dptr ; jnz +0x11",flow opcode
0x07D7,0x2ABBF,pd-image,0xABBF,23,1,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0xe458",flow opcode
0x07D7,0x2ABC7,pd-image,0xABC7,24,0,read x1,"movx a,@dptr ; mov r5,a ; mov r7,#0x00 ; mov r6,a ; clr a ; add a,r7 ; lcall 0x906d",flow opcode
0x07D7,0x2ABFF,pd-image,0xABFF,24,0,read x1,"movx a,@dptr ; mov 0xf0,#0x5e ; mul ab ; add a,#0x0c ; mov 0x82,a ; clr a ; addc a,#0x09",max_insns (8) exhausted
0x07D7,0x2AC13,pd-image,0xAC13,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0xec5e",flow opcode
0x07D7,0x2AC1D,pd-image,0xAC1D,24,0,read x1,"movx a,@dptr ; lcall 0x909a",flow opcode
0x07D7,0x2AC29,pd-image,0xAC29,24,0,read x1,"movx a,@dptr ; mov r5,a ; mov r6,a ; clr a ; add a,#0x00 ; lcall 0x9028",flow opcode
